City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Mackay,AU,-21.15,149.2,66.69,75,100,18.07,overcast clouds
153,Inhambane,MZ,-23.865,35.3833,66.07,78,1,7.67,clear sky
154,Kota Bahru,MY,6.1333,102.2386,74.7,92,100,7.27,overcast clouds
155,Pisco,PE,-13.7,-76.2167,64.45,72,0,6.91,clear sky
156,Abu Samrah,SY,35.3029,37.1841,80.83,39,0,7.72,clear sky
157,Grand Gaube,MU,-20.0064,57.6608,70.38,61,41,8.99,scattered clouds
158,Cape Town,ZA,-33.9258,18.4232,48.9,92,20,4.61,fog
159,Leshukonskoye,RU,64.8989,45.7622,60.75,89,84,2.1,broken clouds
160,Malaryta,BY,51.7905,24.074,66.33,72,100,12.48,light rain
161,Dalnerechensk,RU,45.9339,133.7225,71.53,96,92,7.23,overcast clouds
162,Mayo,US,38.8876,-76.5119,90.95,53,95,4.0,overcast clouds
163,Hasaki,JP,35.7333,140.8333,81.0,81,93,4.47,overcast clouds
164,Olga,RU,43.7444,135.2892,78.4,80,42,2.71,scattered clouds
165,Tocopilla,CL,-22.092,-70.1979,62.89,69,13,8.08,few clouds
166,Leo,BF,11.1,-2.1,77.52,77,57,3.24,broken clouds
167,Broken Hill,AU,-31.95,141.4333,52.48,46,100,12.66,overcast clouds
168,San Lawrenz,MT,36.0553,14.204,81.86,85,0,1.99,clear sky
169,Poya,NC,-21.35,165.15,68.4,79,99,12.8,overcast clouds
170,Kavaratti,IN,10.5669,72.642,80.91,83,93,18.88,overcast clouds
171,Balykshi,KZ,47.0667,51.8667,71.6,40,0,8.95,clear sky
172,Rawson,AR,-43.3002,-65.1023,47.93,53,2,5.41,clear sky
173,College,US,64.8569,-147.8028,77.58,39,100,2.13,overcast clouds
174,Klaksvik,FO,62.2266,-6.589,50.92,87,90,8.63,overcast clouds
175,Vestmannaeyjar,IS,63.4427,-20.2734,50.79,78,73,16.84,broken clouds
176,Mahebourg,MU,-20.4081,57.7,70.25,68,40,18.41,scattered clouds
177,Brae,GB,60.3964,-1.353,52.68,82,29,13.85,scattered clouds
178,Dingle,PH,10.9995,122.6711,76.21,89,100,4.65,overcast clouds
179,Laguna,US,38.421,-121.4238,97.09,42,0,9.22,clear sky
180,Cognac,FR,45.5,-0.25,72.37,64,0,5.75,clear sky
181,Charyshskoye,RU,51.3978,83.5598,57.49,93,66,3.91,broken clouds
182,Luang Prabang,LA,19.8856,102.1347,73.78,99,98,0.4,overcast clouds
183,Kahului,US,20.8947,-156.47,91.42,43,20,24.16,few clouds
184,Ojinaga,MX,29.5667,-104.4167,102.58,30,75,8.05,broken clouds
185,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.53,41,34,2.17,scattered clouds
186,Naze,JP,28.3667,129.4833,81.52,90,100,26.08,overcast clouds
187,Talnakh,RU,69.4865,88.3972,47.21,76,78,16.64,broken clouds
188,Codrington,AU,-38.2667,141.9667,52.41,54,100,20.74,light rain
189,Castro,BR,-24.7911,-50.0119,50.23,64,3,3.83,clear sky
190,Curvelo,BR,-18.7564,-44.4308,73.4,37,14,1.52,few clouds
191,Port Hardy,CA,50.6996,-127.4199,71.78,73,20,12.66,fog
192,Mantova,IT,45.1667,10.7833,78.04,74,1,3.0,clear sky
193,Hithadhoo,MV,-0.6,73.0833,80.76,76,100,18.39,overcast clouds
194,Troitsk,RU,54.0979,61.5773,59.52,88,61,6.98,broken clouds
195,Isangel,VU,-19.55,169.2667,71.55,88,100,3.36,overcast clouds
196,Qorveh,IR,35.1664,47.8045,73.4,46,42,6.02,scattered clouds
197,Pangnirtung,CA,66.1451,-65.7125,60.8,55,100,21.85,light intensity shower rain
198,Ribeira Grande,PT,38.5167,-28.7,74.59,67,15,2.66,few clouds
199,Dombarovskiy,RU,50.7587,59.5386,64.76,73,60,6.76,broken clouds
200,Leningradskiy,RU,69.3833,178.4167,50.56,60,82,6.24,broken clouds
